text_input,output
"سلام! CCoin چیست؟","🤖 **سلام دوست عزیز!** 

CCoin یک ربات پیشرفته و سرگرم‌کننده اقتصادی-گیمینگ برای دیسکورد است که با دستورات اسلش (/) کار می‌کند. با این ربات می‌توانید سکه جمع‌آوری کنید، در مینی‌گیم‌های هیجان‌انگیز شرکت کنید، با دوستانتان تعامل داشته باشید، آیتم‌های مختلف بخرید و در رقابت‌های سرور شرکت کنید! ✨💰🎮

برای شروع کافیست از دستور </help:0> استفاده کنید تا با امکانات ربات آشنا شوید."

"دستورات اصلی ربات CCoin کدام‌ها هستند؟","🛠️ **دستورات اصلی CCoin:**

🔹 </menu:0> - باز کردن منوی اصلی ربات (دسترسی به همه بخش‌ها)
🔹 </admin:0> - باز کردن پنل مدیریت ادمین
🔹 </askai:0> - گفتگو با هوش مصنوعی پیشرفته CCoin
🔹 </balance:0> - بررسی موجودی حساب شما
🔹 </daily:0> - دریافت پاداش روزانه
🔹 </help:0> - نمایش راهنمای جامع ربات
🔹 </ping:0> - نمایش وضعیت سیستم و اتصالات ربات

همچنین دستورات متنوع دیگری برای بازی‌ها، تعاملات اجتماعی و مدیریت حساب وجود دارد که می‌توانید با زدن / در چت دیسکورد و جستجو آنها را ببینید. ✨"

"دستور </menu:0> چه کاری انجام می‌دهد؟","🎮 **منوی اصلی CCoin**

دستور </menu:0> قلب ربات CCoin است! با اجرای این دستور، یک پنل کامل و زیبا با دکمه‌های متنوع برای شما باز می‌شود که دسترسی به همه بخش‌های اصلی ربات را فراهم می‌کند:

🎮 بازی‌ها و مینی‌گیم‌ها
💰 سیستم اقتصادی و بانک
🛒 فروشگاه و خرید آیتم‌ها
📊 پروفایل و وضعیت حساب
👥 سیستم دوستی و تعاملات اجتماعی
🏆 رتبه‌بندی‌ها و چالش‌ها

این منو با رابط کاربری گرافیکی و دکمه‌های تعاملی طراحی شده تا استفاده از ربات برای شما لذت‌بخش و آسان باشد. 🚀"

"چگونه از هوش مصنوعی CCoin استفاده کنم؟","🧠 **استفاده از هوش مصنوعی CCoin**

برای صحبت با هوش مصنوعی پیشرفته CCoin کافیست از دستور </askai:0> استفاده کنید. این دستور به شما اجازه می‌دهد هر سؤالی را از هوش مصنوعی بپرسید.

🔹 نحوه استفاده: </askai:0> [سؤال شما]
🔹 مثال: </askai:0> بهترین استراتژی برای جمع آوری سکه چیست؟

CCoinAI می‌تواند به سؤالات مرتبط با ربات، توصیه‌های بازی، اطلاعات عمومی و حتی شوخی‌های بامزه پاسخ دهد! همچنین می‌تواند در یادگیری قابلیت‌های مختلف ربات به شما کمک کند. ✨🤖"

"چگونه موجودی حساب خود را ببینم؟","💰 **مشاهده موجودی حساب**

برای دیدن موجودی سکه‌ها و وضعیت مالی خود، کافیست از دستور </balance:0> استفاده کنید. با اجرای این دستور، اطلاعات کاملی درباره دارایی‌های شما نمایش داده می‌شود:

🪙 تعداد سکه‌های موجود در کیف پول
🏦 مقدار سکه‌های ذخیره شده در بانک
💎 تعداد کریستال‌های شما
📊 سطح اقتصادی فعلی
📈 میزان پیشرفت برای رسیدن به سطح بعدی

همچنین می‌توانید تاریخچه معاملات اخیر خود را مشاهده کنید تا متوجه شوید سکه‌های خود را از کجا به دست آورده‌اید و کجا خرج کرده‌اید. 💸"

"جایزه روزانه چیست و چگونه آن را دریافت کنم؟","🎁 **سیستم جوایز روزانه CCoin**

با استفاده از دستور </daily:0> می‌توانید هر 24 ساعت یک‌بار پاداش روزانه خود را دریافت کنید. این یکی از مهم‌ترین منابع درآمد مستمر شماست!

✨ **مزایای دریافت منظم پاداش روزانه:**
• دریافت سکه رایگان (مقدار آن با سطح شما افزایش می‌یابد)
• افزایش استریک (روزهای متوالی) که جوایز بیشتری به همراه دارد
• شانس دریافت آیتم‌های ویژه در روزهای خاص
• گاهی کریستال رایگان در مناسبت‌های ویژه
• تجربه (XP) برای افزایش سطح شما

🔥 **نکته مهم:** سعی کنید استریک خود را از دست ندهید! هر 7 روز متوالی، پاداش ویژه‌ای دریافت خواهید کرد. 📅✨"

