text_input,output
"سلام، سکه‌های ربات چه نام دارند؟","در ربات CCoin، سکه‌های اصلی با نام Ccoin شناخته می‌شوند. همچنین کریستال‌ها واحد ارزشمند دیگری هستند که می‌توانید از آنها برای خرید آیتم‌های خاص استفاده کنید."
"چگونه می‌توانم سکه جمع‌آوری کنم؟","شما می‌توانید از طریق فعالیت‌های مختلف مانند دزدی روزانه، کار کردن، شرکت در مینی‌گیم‌ها، برنده شدن در دوئل‌ها و شرکت در گیوآوی‌ها سکه جمع‌آوری کنید. همچنین می‌توانید روزانه با دستور !daily پاداش دریافت کنید."
"بانک چیست و چه کاربردی دارد؟","بانک محلی امن برای نگهداری سکه‌های شماست. با استفاده از دستور !bank deposit می‌توانید سکه‌های خود را در بانک ذخیره کنید تا از دزدی در امان باشند. برای برداشت از بانک می‌توانید از دستور !bank withdraw استفاده کنید."
"من تازه وارد سرور شدم، از کجا شروع کنم؟","خوش آمدید! برای شروع، ابتدا دستور !register را بزنید تا در سیستم ثبت‌نام شوید. سپس می‌توانید پاداش روزانه خود را با !daily دریافت کنید و از منوی !help برای آشنایی با امکانات بیشتر استفاده کنید. منوی !games برای بازی‌ها و !shop برای فروشگاه در دسترس است."
"چگونه می‌توانم دزدی کنم؟","شما می‌توانید با دستور !rob یا !theft از کاربران دیگر دزدی کنید. احتمال موفقیت دزدی بستگی به سطح شما و آیتم‌های محافظت‌کننده کاربر مقابل دارد. هر 12 ساعت یک‌بار می‌توانید این دستور را استفاده کنید."
"سطح چیست و چگونه می‌توانم آن را افزایش دهم؟","سطح (Level) نشان‌دهنده پیشرفت شما در بازی است. با کسب تجربه از طریق فعالیت‌های مختلف مانند دزدی، کار کردن، شرکت در مینی‌گیم‌ها و دوئل‌ها، سطح شما افزایش می‌یابد. با افزایش سطح، دسترسی به آیتم‌های بهتر و امکانات بیشتری خواهید داشت."
"دستورات اصلی ربات کدام‌ها هستند؟","دستورات اصلی عبارتند از: !help (راهنما)، !daily (دریافت جایزه روزانه)، !balance (مشاهده موجودی)، !profile (مشاهده پروفایل)، !shop (فروشگاه)، !inventory (مشاهده انبار)، !work (کار کردن)، !rob (دزدی)، !games (لیست بازی‌ها) و !bank (عملیات بانکی)"
"چگونه می‌توانم کریستال بدست آورم؟","کریستال‌ها واحد ارزشمندی هستند که از طریق تکمیل کوئست‌های ویژه، برنده شدن در ایونت‌های خاص، فروش آیتم‌های کمیاب، یا خرید از قسمت پرمیوم قابل دریافت هستند. همچنین گاهی ادمین‌ها در گیوآوی‌های ویژه کریستال اهدا می‌کنند."
"ویژگی‌های حساب VIP چیست؟","حساب VIP امکانات ویژه‌ای را در اختیار شما قرار می‌دهد از جمله: افزایش ظرفیت انبار، افزایش سقف بانک، امکان انتقال سکه بیشتر، پاداش روزانه بیشتر، شانس بیشتر در مینی‌گیم‌ها، و دسترسی به آیتم‌های انحصاری VIP."
"چطور می‌توانم با دوستانم تجارت کنم؟","با استفاده از دستور !trade @username می‌توانید با دوستان خود تجارت کنید. در منوی تجارت می‌توانید سکه یا آیتم‌های خود را پیشنهاد دهید و آیتم‌ها یا سکه‌های درخواستی را مشخص کنید. هر دو طرف باید تجارت را تأیید کنند."
"آیا می‌توانم عضو کلن شوم؟","بله، می‌توانید با استفاده از دستور !clan join به کلن‌های موجود بپیوندید یا با دستور !clan create یک کلن جدید ایجاد کنید. کلن‌ها به اعضای خود امکاناتی مانند تخفیف در خرید، محافظت گروهی، و مشارکت در رویدادهای اختصاصی کلن را می‌دهند."
"مینی‌گیم‌های موجود در ربات کدام‌ها هستند؟","مینی‌گیم‌های موجود شامل: Blackjack (!blackjack)، Slots (!slots)، Dice (!dice)، Rock Paper Scissors (!rps)، Coinflip (!coinflip)، Lottery (!lottery)، Truth or Dare (!tod)، Quiz (!quiz)، Hangman (!hangman) و Werewolf (!ww) می‌باشند."
"چطور می‌توانم گزارش تراکنش‌های خود را ببینم؟","با دستور !transactions می‌توانید تاریخچه تراکنش‌های خود را مشاهده کنید. این گزارش شامل همه تراکنش‌های شما اعم از دریافت سکه، پرداخت سکه، خرید آیتم، فروش آیتم و... به همراه تاریخ و توضیحات می‌باشد."
"چگونه می‌توانم به فروشگاه ربات دسترسی پیدا کنم؟","با دستور !shop می‌توانید به فروشگاه دسترسی پیدا کنید. در فروشگاه بخش‌های مختلفی مانند آیتم‌های مصرفی، تجهیزات، زینتی، و آیتم‌های ویژه وجود دارد. برای خرید یک آیتم می‌توانید از دستور !buy [item-id] استفاده کنید."
